date,action,Price
2019-06-26,1,11766
2019-06-27,-1,12933
2019-06-28,-1,11133
2019-06-29,-1,12374
2019-06-30,-1,11890
2019-07-01,-1,10738
2019-07-02,-1,10579
2019-07-03,-1,10805
2019-07-04,-1,11985
2019-07-05,-1,11160
2019-07-06,-1,10955
2019-07-07,-1,11232
2019-07-08,-1,11477
2019-07-09,-1,12313
2019-07-10,-1,12587
2019-07-11,-1,12100
2019-07-12,-1,11353
2019-07-13,-1,11804
2019-07-14,-1,11389
2019-07-15,-1,10187
2019-07-16,-1,10874
2019-07-17,-1,9398
2019-07-18,-1,9674
2019-07-19,-1,10639
2019-07-20,-1,10536
2019-07-21,-1,10765
2019-07-22,-1,10587
2019-07-23,-1,10324
2019-07-24,-1,9844
2019-07-25,-1,9772
2019-07-26,-1,9875
2019-07-27,-1,9849
2019-07-28,-1,9474
2019-07-29,-1,9530
2019-07-30,1,9501
2019-07-31,-1,9589
2019-08-01,1,10085
2019-08-02,1,10407
2019-08-03,0,10530
2019-08-04,-1,10815
2019-08-05,1,10980
2019-08-06,1,11788
2019-08-07,-1,11466
2019-08-08,-1,11961
2019-08-09,-1,11996
2019-08-10,0,11857
2019-08-11,-1,11282
2019-08-12,-1,11567
2019-08-13,-1,11386
2019-08-14,-1,10858
2019-08-15,-1,10017
2019-08-16,1,10302
2019-08-17,-1,10359
2019-08-18,0,10215
2019-08-19,-1,10318
2019-08-20,-1,10917
2019-08-21,-1,10761
2019-08-22,-1,10129
2019-08-23,-1,10112
2019-08-24,-1,10406
2019-08-25,-1,10144
2019-08-26,-1,10135
2019-08-27,-1,10360
2019-08-28,-1,10172
2019-08-29,-1,9718
2019-08-30,-1,9485
2019-08-31,0,9578
2019-09-01,-1,9601
2019-09-02,-1,9770
2019-09-03,-1,10387
2019-09-04,0,10621
2019-09-05,-1,10584
2019-09-06,1,10578
2019-09-07,1,10317
2019-09-08,0,10487
2019-09-09,-1,10406
2019-09-10,-1,10314
2019-09-11,-1,10101
2019-09-12,-1,10159
2019-09-13,-1,10420
2019-09-14,-1,10364
2019-09-15,-1,10361
2019-09-16,-1,10310
2019-09-17,-1,10266
2019-09-18,-1,10190
2019-09-19,-1,10158
2019-09-20,-1,10276
2019-09-21,-1,10173
2019-09-22,0,9979
2019-09-24,-1,9683
2019-09-25,-1,8554
2019-09-26,-1,8432
2019-09-27,-1,8056
2019-09-28,-1,8194
2019-09-29,-1,8225
2019-09-30,-1,8057
2019-10-01,0,8308
2019-10-02,-1,8323
2019-10-03,0,8382
2019-10-04,-1,8236
2019-10-05,-1,8155
2019-10-06,-1,8148
2019-10-07,-1,7870
2019-10-08,-1,8212
2019-10-09,-1,8190
2019-10-10,-1,8588
2019-10-11,-1,8587
2019-10-12,-1,8270
2019-10-13,0,8308
2019-10-14,-1,8284
2019-10-15,-1,8354
2019-10-16,-1,8162
2019-10-17,-1,8003
2019-10-18,-1,8077
2019-10-19,1,7954
2019-10-20,0,7960
2019-10-21,-1,8231
2019-10-22,-1,8223
2019-10-23,-1,8027
2019-10-24,1,7470
2019-10-25,1,7432
2019-10-26,1,8667
2019-10-27,-1,9260
2019-10-28,-1,9552
2019-10-29,1,9219
2019-10-30,-1,9433
2019-10-31,-1,9165
2019-11-01,-1,9148
2019-11-02,-1,9253
2019-11-03,-1,9206
2019-11-04,1,9418
2019-11-05,-1,9310
2019-11-06,-1,9343
2019-11-07,-1,9204
2019-11-08,-1,8766
2019-11-09,-1,8809
2019-11-10,-1,9037
2019-11-11,-1,8718
2019-11-12,-1,8802
2019-11-13,-1,8762
2019-11-14,-1,8632
2019-11-15,-1,8458
2019-11-16,-1,8483
2019-11-17,-1,8504
2019-11-18,-1,8176
2019-11-19,-1,8121
2019-11-20,-1,8082
2019-11-21,-1,7617
2019-11-22,-1,7286
2019-11-23,-1,7324
2019-11-24,-1,6907
2019-11-25,-1,7130
2019-11-26,-1,7164
2019-11-27,-1,7524
2019-11-28,1,7431
2019-11-29,-1,7757
2019-11-30,-1,7558
2019-12-01,-1,7403
2019-12-02,1,7310
2019-12-03,-1,7297
2019-12-04,0,7193
2019-12-05,0,7396
2019-12-06,-1,7547
2019-12-07,-1,7505
2019-12-08,1,7522
2019-12-09,1,7337
2019-12-10,-1,7221
2019-12-11,-1,7202
2019-12-12,-1,7189
2019-12-13,0,7252
2019-12-14,1,7068
2019-12-15,-1,7111
2019-12-16,-1,6880
2019-12-17,-1,6612
2019-12-18,-1,7284
2019-12-19,1,7151
2019-12-20,-1,7190
2019-12-21,0,7143
2019-12-22,1,7514
2019-12-23,-1,7322
2019-12-24,-1,7251
2019-12-25,-1,7193
2019-12-26,1,7194
2019-12-27,-1,7244
2019-12-28,-1,7301
2019-12-29,-1,7385
2019-12-30,-1,7220
2019-12-31,-1,7168
2020-01-01,-1,7176
2020-01-02,-1,6944
2020-01-03,-1,7326
2020-01-04,1,7348
2020-01-05,-1,7352
2020-01-06,-1,7759
2020-01-07,-1,8165
2020-01-08,-1,8043
2020-01-09,-1,7818
2020-01-10,-1,8185
2020-01-11,1,8021
2020-01-12,1,8174
2020-01-13,1,8105
2020-01-14,1,8842
2020-01-15,-1,8814
2020-01-16,-1,8722
2020-01-17,-1,8900
2020-01-18,-1,8911
2020-01-19,1,8703
2020-01-20,-1,8626
2020-01-21,-1,8722
2020-01-22,1,8659
2020-01-23,-1,8388
2020-01-24,-1,8428
2020-01-25,-1,8327
2020-01-26,-1,8588
2020-01-27,-1,8896
2020-01-28,-1,9386
2020-01-29,1,9280
2020-01-30,1,9502
2020-01-31,-1,9334
2020-02-01,1,9378
2020-02-02,-1,9315
2020-02-03,1,9285
2020-02-04,1,9162
2020-02-05,1,9615
2020-02-06,1,9756
2020-02-07,1,9808
2020-02-08,0,9907
2020-02-09,1,10162
2020-02-10,-1,9855
2020-02-11,-1,10275
2020-02-12,1,10354
2020-02-13,-1,10242
2020-02-14,-1,10369
2020-02-15,1,9904
2020-02-16,0,9938
2020-02-17,-1,9704
2020-02-18,-1,10181
2020-02-19,-1,9605
2020-02-20,1,9607
2020-02-21,-1,9697
2020-02-22,-1,9670
2020-02-23,-1,9989
2020-02-24,-1,9664
2020-02-25,-1,9309
2020-02-26,-1,8786
2020-02-27,-1,8805
2020-02-28,-1,8712
2020-02-29,-1,8531
2020-03-01,-1,8534
2020-03-02,-1,8913
2020-03-03,-1,8754
2020-03-04,-1,8759
2020-03-05,1,9067
2020-03-06,-1,9156
2020-03-07,-1,8899
2020-03-09,-1,8039
2020-03-10,-1,7932
2020-03-11,-1,7885
2020-03-12,-1,7937
2020-03-13,-1,4830
2020-03-14,-1,5609
2020-03-15,-1,5166
2020-03-16,-1,5348
2020-03-17,0,5026
2020-03-18,1,5358
2020-03-19,-1,5410
2020-03-20,-1,6195
2020-03-21,-1,6226
2020-03-22,-1,6190
2020-03-23,-1,5823
2020-03-24,1,6502
2020-03-25,-1,6768
2020-03-26,1,6698
2020-03-27,-1,6764
2020-03-28,-1,6369
2020-03-29,0,6261
2020-03-30,-1,5885
2020-03-31,-1,6405
2020-04-01,-1,6428
2020-04-02,-1,6653
2020-04-03,-1,6809
2020-04-04,-1,6742
2020-04-05,0,6872
2020-04-06,-1,6777
2020-04-07,1,7343
2020-04-08,1,7206
2020-04-09,-1,7365
2020-04-10,-1,7294
2020-04-11,0,6873
2020-04-12,-1,6892
2020-04-13,1,6915
2020-04-14,1,6858
2020-04-15,1,6872
2020-04-16,-1,6624
2020-04-17,-1,7112
2020-04-18,-1,7035
2020-04-19,-1,7259
2020-04-20,-1,7130
2020-04-21,-1,6840
2020-04-22,-1,6853
2020-04-23,1,7131
2020-04-24,-1,7478
2020-04-25,1,7507
2020-04-26,0,7550
2020-04-27,0,7699
2020-04-28,-1,7791
2020-04-29,1,7765
2020-04-30,1,8778
2020-05-01,1,8629
2020-05-02,1,8825
2020-05-03,1,8974
2020-05-04,0,8904
2020-05-05,-1,8886
2020-05-06,1,9031
2020-05-07,1,9171
2020-05-08,1,10002
2020-05-09,1,9822
2020-05-10,0,9527
2020-05-11,1,8754
2020-05-12,1,8617
2020-05-13,1,8815
2020-05-14,1,9306
2020-05-15,-1,9790
2020-05-16,-1,9304
2020-05-17,-1,9386
2020-05-18,-1,9669
2020-05-19,-1,9719
2020-05-20,1,9786
2020-05-21,-1,9511
2020-05-22,-1,9058
2020-05-23,-1,9167
2020-05-24,-1,9178
2020-05-25,-1,8731
2020-05-26,-1,8900
2020-05-27,-1,8843
2020-05-28,-1,9198
2020-05-29,1,9569
2020-05-30,0,9426
2020-05-31,-1,9698
2020-06-01,-1,9451
2020-06-02,-1,10204
2020-06-03,-1,9526
2020-06-04,-1,9658
2020-06-05,1,9795
2020-06-06,-1,9624
2020-06-07,-1,9670
2020-06-08,-1,9754
2020-06-09,-1,9783
2020-06-10,-1,9775
2020-06-11,-1,9892
2020-06-12,-1,9286
2020-06-13,1,9460
2020-06-14,0,9474
2020-06-15,-1,9330
2020-06-16,-1,9427
2020-06-17,1,9526
2020-06-18,-1,9455
2020-06-19,-1,9380
2020-06-20,-1,9300
2020-06-21,1,9357
2020-06-22,-1,9285
2020-06-23,1,9692
2020-06-24,-1,9621
2020-06-25,-1,9277
2020-06-26,-1,9241
2020-06-27,-1,9154
2020-06-28,1,9004
2020-06-29,-1,9127
2020-06-30,-1,9185
2020-07-01,-1,9134
2020-07-02,-1,9236
2020-07-03,1,9088
2020-07-04,-1,9072
2020-07-05,-1,9131
2020-07-06,1,9089
2020-07-07,-1,9349
2020-07-08,-1,9256
2020-07-09,1,9440
2020-07-10,-1,9238
2020-07-11,-1,9287
2020-07-12,-1,9236
2020-07-13,1,9296
2020-07-14,-1,9238
2020-07-15,-1,9255
2020-07-16,-1,9194
2020-07-17,-1,9131
2020-07-18,-1,9154
2020-07-19,-1,9175
2020-07-20,-1,9215
2020-07-21,-1,9164
2020-07-22,-1,9393
2020-07-23,-1,9537
2020-07-24,0,9613
2020-07-25,-1,9551
2020-07-26,1,9708
2020-07-27,1,9939
2020-07-28,-1,11042
2020-07-29,-1,10935
2020-07-30,-1,11103
2020-07-31,-1,11115
2020-08-01,-1,11344
2020-08-02,-1,11824
2020-08-03,-1,11078
2020-08-04,1,11243
2020-08-05,1,11194
2020-08-06,0,11750
2020-08-07,1,11773
2020-08-08,-1,11606
2020-08-09,-1,11768
2020-08-10,1,11684
2020-08-11,-1,11893
2020-08-12,1,11392
2020-08-13,1,11573
2020-08-14,-1,11777
2020-08-15,-1,11774
2020-08-16,-1,11874
2020-08-17,1,11914
2020-08-18,-1,12294
2020-08-19,-1,11970
2020-08-20,-1,11734
2020-08-21,-1,11866
2020-08-22,-1,11523
2020-08-23,-1,11683
2020-08-24,-1,11653
2020-08-25,-1,11764
2020-08-26,0,11337
2020-08-27,-1,11467
2020-08-28,-1,11302
2020-08-29,-1,11535
2020-08-30,-1,11482
2020-08-31,-1,11708
2020-09-01,1,11660
2020-09-02,-1,11923
2020-09-03,-1,11397
2020-09-04,-1,10188
2020-09-05,-1,10468
2020-09-06,-1,10160
2020-09-07,-1,10255
2020-09-08,-1,10368
2020-09-09,-1,10122
2020-09-10,-1,10228
2020-09-11,-1,10353
2020-09-12,-1,10395
2020-09-13,0,10446
2020-09-14,-1,10331
2020-09-15,1,10675
2020-09-16,1,10786
2020-09-17,-1,10948
2020-09-18,-1,10944
2020-09-19,-1,10932
2020-09-20,0,11081
2020-09-21,-1,10920
2020-09-22,-1,10430
2020-09-23,-1,10532
2020-09-24,0,10234
2020-09-25,-1,10732
2020-09-26,-1,10693
2020-09-27,-1,10732
2020-09-28,-1,10774
2020-09-29,-1,10692
2020-09-30,-1,10841
2020-10-01,-1,10778
2020-10-02,-1,10619
2020-10-03,-1,10575
2020-10-04,-1,10552
2020-10-05,-1,10673
2020-10-06,-1,10789
2020-10-07,-1,10604
2020-10-08,1,10671
2020-10-09,1,10923
2020-10-10,-1,11063
2020-10-11,1,11303
2020-10-12,1,11377
2020-10-13,-1,11540
2020-10-14,0,11428
2020-10-15,-1,11431
2020-10-16,-1,11504
2020-10-17,-1,11328
2020-10-18,0,11367
2020-10-19,-1,11508
2020-10-20,-1,11758
2020-10-21,1,11925
2020-10-22,1,12832
2020-10-23,1,12990
2020-10-24,1,12945
2020-10-25,-1,13128
2020-10-26,-1,13037
2020-10-27,1,13076
2020-10-28,-1,13651
2020-10-29,-1,13289
2020-10-30,-1,13459
2020-10-31,1,13565
2020-11-01,-1,13759
2020-11-02,-1,13575
2020-11-03,-1,14023
2020-11-04,-1,14156
2020-11-05,1,15591
2020-11-06,1,15596
2020-11-07,0,14840
2020-11-08,-1,15491
2020-11-09,0,15329
2020-11-10,-1,15317
2020-11-11,1,15709
2020-11-12,1,16296
2020-11-13,-1,16339
2020-11-14,-1,16091
2020-11-15,0,15968
2020-11-16,1,16725
2020-11-17,1,17680
2020-11-18,1,17798
2020-11-19,1,17821
2020-11-20,1,18687
2020-11-21,1,18700
2020-11-22,1,18422
2020-11-23,-1,18399
2020-11-24,1,19173
2020-11-25,1,18740
2020-11-26,-1,17151
2020-11-27,-1,17139
2020-11-28,-1,17732
2020-11-29,0,18192
2020-11-30,1,19710
2020-12-01,1,18793
2020-12-02,1,19227
2020-12-03,1,19455
2020-12-04,-1,18670
2020-12-05,1,19155
2020-12-06,1,19378
2020-12-07,1,19181
2020-12-08,0,18319
2020-12-09,-1,18554
2020-12-10,-1,18248
2020-12-11,-1,18029
2020-12-12,-1,18803
2020-12-13,-1,19164
2020-12-14,1,19277
2020-12-15,-1,19440
2020-12-16,1,21379
2020-12-17,1,22847
2020-12-18,0,23151
2020-12-19,-1,23870
2020-12-20,0,23491
2020-12-21,1,22745
2020-12-22,-1,23825
2020-12-23,-1,23253
2020-12-24,-1,23716
2020-12-25,0,24694
2020-12-26,1,26443
2020-12-27,1,26247
2020-12-28,1,27037
2020-12-29,-1,27376
2020-12-30,1,28857
2020-12-31,1,28983
2021-01-01,1,29394
2021-01-02,1,32195
2021-01-03,1,33001
2021-01-04,1,32035
2021-01-05,1,34047
2021-01-06,1,36860
2021-01-07,1,39486
2021-01-08,1,40670
2021-01-09,1,40241
2021-01-10,0,38240
2021-01-11,-1,35545
2021-01-12,-1,34012
2021-01-13,-1,37393
2021-01-14,-1,39158
2021-01-15,-1,36829
2021-01-16,-1,36065
2021-01-17,-1,35793
2021-01-18,1,36632
2021-01-19,-1,36020
2021-01-20,-1,35539
2021-01-21,-1,30798
2021-01-22,-1,33002
2021-01-23,-1,32100
2021-01-24,-1,32277
2021-01-25,-1,32243
2021-01-26,-1,32542
2021-01-27,-1,30419
2021-01-28,-1,33403
2021-01-29,-1,34314
2021-01-30,-1,34318
2021-01-31,-1,33136
2021-02-01,-1,33523
2021-02-02,-1,35530
2021-02-03,1,37676
2021-02-04,1,37002
2021-02-05,1,38279
2021-02-06,-1,39323
2021-02-07,1,38928
2021-02-08,1,46364
2021-02-09,1,46590
2021-02-10,-1,44878
2021-02-11,-1,48013
2021-02-12,1,47471
2021-02-13,-1,47185
2021-02-14,1,48720
2021-02-15,-1,47952
2021-02-16,1,49160
2021-02-17,1,52118
2021-02-18,1,51608
2021-02-19,1,55917
2021-02-20,1,56001
2021-02-21,1,57488
2021-02-22,-1,54123
2021-02-23,-1,48880
2021-02-24,1,50625
2021-02-25,1,46800
2021-02-26,-1,46340
2021-02-27,-1,46156
2021-02-28,-1,45114
2021-03-01,-1,49618
2021-03-02,1,48356
2021-03-03,0,50478
2021-03-04,0,48449
2021-03-05,-1,48861
2021-03-06,1,48882
2021-03-07,1,51170
2021-03-08,0,52299
2021-03-09,1,54882
2021-03-10,1,55997
2021-03-11,0,57764
2021-03-12,-1,57253
2021-03-13,1,61259
2021-03-15,-1,59133
2021-03-16,1,55755
2021-03-17,1,56872
2021-03-18,0,58913
2021-03-19,-1,57666
2021-03-20,-1,58075
2021-03-21,1,58086
2021-03-22,-1,57411
2021-03-23,-1,54205
2021-03-24,1,54477
2021-03-25,-1,52508
2021-03-26,-1,51416
2021-03-27,-1,55074
2021-03-28,1,55864
2021-03-29,0,55784
2021-03-30,1,57628
2021-03-31,1,58730
2021-04-01,1,58735
2021-04-02,1,58737
2021-04-03,1,59031
2021-04-04,1,57076
2021-04-05,1,58207
2021-04-06,1,59054
2021-04-07,-1,58020
2021-04-08,-1,55947
2021-04-09,1,58049
2021-04-10,1,58103
2021-04-11,0,59774
2021-04-12,0,59965
2021-04-13,1,59835
2021-04-14,1,63554
2021-04-15,1,62969
2021-04-16,-1,63253
2021-04-17,-1,61456
2021-04-18,-1,60087
2021-04-19,-1,56251
2021-04-20,1,55703
2021-04-21,-1,56508
2021-04-22,1,53809
2021-04-23,-1,51732
2021-04-24,-1,51153
2021-04-25,-1,50111
2021-04-26,1,49076
2021-04-27,-1,54057
